....................
KOD,SIMPLE_NAM
0104101000,"ОВЦЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
01041030,"ЯГНЯТА (ДО ОДНОГО ГОДА), ЖИВЫЕ"
0104103000,"ЯГНЯТА (ДО ОДНОГО ГОДА), ЖИВЫЕ"
01041080,ПРОЧИЕ ОВЦЫ ЖИВЫЕ
0104108000,ПРОЧИЕ ОВЦЫ ЖИВЫЕ
010420,КОЗЫ ЖИВЫЕ
01042010,"КОЗЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
0104201000,"КОЗЫ ЧИСТОПОРОДНЫЕ (ЧИСТОКРОВНЫЕ) ПЛЕМЕННЫЕ ЖИВОТНЫЕ, ЖИВЫЕ"
01042090,ПРОЧИЕ КОЗЫ ЖИВЫЕ
0104209000,ПРОЧИЕ КОЗЫ ЖИВЫЕ
0105,"ДОМАШНЯЯ ПТИЦА ЖИВАЯ, ТО ЕСТЬ КУРЫ ДОМАШНИЕ (GALLUS DOMESTICUS), УТКИ, ГУСИ, ИНДЕЙКИ И ЦЕСАРКИ"
010511,КУРЫ ДОМАШНИЕ (CALLUS DOMESTICUS) ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051111,ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ ЛИНИИ НЕСУШЕК ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
0105111100,ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ ЛИНИИ НЕСУШЕК ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
01051119,ПРОЧИЕ ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ [ПРАРОДИТЕЛЬСКИЕ И МАТЕРИНСКИЕ  ЛИНИИ] ВИДА CALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
0105111900,ПРОЧИЕ ЦЫПЛЯТА ПЛЕМЕННОГО РАЗВЕДЕНИЯ [ПРАРОДИТЕЛЬСКИЕ И МАТЕРИНСКИЕ  ЛИНИИ] ВИДА CALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
01051191,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS ЛИНИИ НЕСУШЕК МАССОЙ НЕ БОЛЕЕ 185 Г
0105119100,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS ЛИНИИ НЕСУШЕК МАССОЙ НЕ БОЛЕЕ 185 Г
01051199,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
0105119900,ПРОЧИЕ ДОМАШНИЕ ПТИЦЫ ВИДА GALLUS DOMESTICUS МАССОЙ НЕ БОЛЕЕ 185 Г
010512,ИНДЕЙКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051200,ИНДЕЙКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105120000,ИНДЕЙКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010513,УТКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051300,УТКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105130000,УТКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010514,ГУСИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
01051400,ГУСИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
0105140000,ГУСИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
010515,ЦЕСАРКИ ЖИВЫЕ МАССОЙ НЕ БОЛЕЕ 185 Г
